name,review
Rubina Mapkar,"Recommend for all a-z sports, hiking and weather basic shopping.
The best usp is staff
1. Excellent knowledgeable about products,
2. approachable,
3. Good listener n patiently listen to queries
4. Give genuine suggestion
5. help in making decision for buying
6. No force of selling.
7. Friendly with kids.
Instead online, visit to store is worth and useful one will not regret to spend time and energy.

Only two stars I gave less is for Space like gym section football section,
Staff for checkout on billing counter is just two females how can they manage weekend and sunday rush it becomes inconvinient for we customers to stand and wait with kids.
Also unavailablity of many products like kids football shoes,etc
Please workout on these three areas."
Prasad Hire,Today I came to service my cycle in decathlon Viviana and Aniket mane from cycling section was really pleasant. Loved the overall environment in the store and the teammates.
Rajvi Dedhia,I picked up a tent after a amazing demo from diksha who helped and showed me how to assemble the tent as per my requirement. She also had great suggestions for my requirements and was easy to approach.
Shivani Kashyap,"I had a great experience at Decathlon.
Prachi was extremely helpful and guided me patiently in choosing the right products. She was knowledgeable, polite, and made my shopping experience smooth and pleasant. Truly appreciate her support!"
Chinmayi Karnik,"Our buying experience with Aniket was excellent.
He was very proactive and explained all the cycle features and specifications to us in detail. Helped with the right size selection and our purpose.
He ensured the exact model was made available to us from the store as per our needs."
Rohan Pitre,"Giving a 5-star review just for the staff. I was looking for a particular track-oant with longer length, and the staff was really helpful in finding the different options for me. Even at checkout, I had online wallet credits to redeem and I was duly assisted in the billing. Great job on the staffing!"
snehal mane,"I wanted to buy balancing bike for my son who is 2 years now. I was bit confused between balancing n peddle cycle for kid. Mr. Aniket Mane explained n helped us to buy the better one. He was not trying to sell some high priced cycle, in fact he helped us to buy the perfect one according to kid age."
Rajib Sarkar,"Decathlon Sports at Viviana Mall is a haven for sports enthusiasts and casual shoppers alike. The store's vast layout is well-organized, offering a wide range of sports equipment, apparel, and accessories for almost every sport imaginable. From running and cycling to yoga and hiking, Decathlon ensures that every customer finds what they need.

What truly stands out is the knowledgeable and friendly staff. They are always ready to assist, whether you're a seasoned athlete looking for specific gear or a beginner needing guidance. Their expertise and willingness to help make the shopping experience smooth and enjoyable.

The quality of the products is top-notch. Decathlon's in-house brands offer great value for money, combining durability with affordability. The store also regularly updates its inventory, ensuring that the latest products are available. It's refreshing to see a store that prioritizes both quality and variety.

Another highlight is the hands-on experience provided. The store often has areas where you can test out equipment, like bikes and treadmills, ensuring you are making informed purchases. This interactive aspect is particularly beneficial for those unsure about their choices.

The location within Viviana Mall adds to the convenience. Ample parking, a wide range of other stores, and dining options make it easy to spend an entire day here. Plus, the mall's central location is easily accessible from different parts of the city.

Overall, Decathlon Sports at Viviana Mall is a must-visit for anyone looking for sports gear. The combination of a vast product range, excellent customer service, and the convenience of being in a popular mall makes it a standout destination. Highly recommended!"
Nandkishor Thorat,"This decathlon is smaller than their average shops.

Staff is fully of teenagers who are into sports.

Small shops but have covered most of their equipment.

Request  decathlon stores to provide proper or atleast good quality cricket equipment.
The one which are available are costly and not worthy."
Urvi,Great experience! Got every sport stuff you need in here!! The staff interactions were very polite and awesome!! Wholesomely Mr. Aniket Mane help me out through the process and stuff! Got no issues with my purchase from the decathlon!!!
