name,review,sentiment
Vijay Thakkar,"I recently visited The Food Town in Mulund and had a delightful dining experience. The ambiance was stylish and inviting, with dim lighting that added to the cozy atmosphere. The service was prompt and friendly, with staff knowledgeable about the menu. The highlight of my meal was the Pink Pasta, which was incredibly flavorful and cooked to perfection. I also enjoyed the Fresh Lime Soda, which was refreshing and just right for the meal. The variety of dishes available is impressive, offering a range of vegetarian options across different cuisines. Overall, I highly recommend The Food Town for its excellent food and great service.",positive
Prathamesh Bandekar,"Me and my friends had a nice reunion here during Raksha Bandhan. We ordered BBQ Pizza and Paneer tikka Pizza. Both pizzas were thin crust and were decent.

One thing which I loved here was the korean noodles. The noodles were cilantro based with a coconut curry just like thai curry. That combination worked so well and something I didn't expect for the night. The curry was so much in quantity I later had to order Thai basil rice and that combination was godly. The taste still lingers on my tongue.",positive
Keshav Dubey,"I visited Food town recently and I must say it's a good place for vegetarians. They have 2 floors for seating, the ambiance is good, service is prompt and fast and food tastes great.

Recommendation

1) Triple Schezwan fried rice - the rice was long and it tasked good on it own but paired with the gravy it tasted delicious

2) Asparagus Tempura Shushi - Those who like sushi will definitely like this as well, sofr rice with crunchy Tempura tasted amazing although their wasabi was not original tasted more like garlic.

3) Lasooni Masala - This was one of the best Lasooni Masala I have tried, paired with Tandoor Butter roti it tasted absolute delicious

4) Panner Chilly Bao - One of the best Bao I have tried so far, soft Bao with delicious Paneer filling it was incredible.

Overall the food tasted really good, some of the dishes were not up to the mark like cheese cigar rolls, Mexican Pizza.

Must visit if you are vegetarian and looking for fusion food and multi cuisine dishes.

Follow for more such reviews and do leave a thumbs up if you liked the review.",positive
Vishal Chaskar,"Visited this restaurant for the third time, I liked this restaurant because of their food taste ambience and service.
Today we ordered butter garlic paneer which is creamy, thai pot rice taste's awesome, paneer chilli bow was good and garlic burnt noodles on average side.",positive
Manasi Kadam,"Food Quality and Taste are both great!

We order Pizza, Soup, Starters and Noodles and everything was tasty and perfect. Very good seating. Even if there is a waiting, they have good arrangements that too. Staff is friendly and polite.",positive
Reema Yadav,"A Must-Visit Pure Veg Gem in Thane!

""The Food Town"" is a revelation! This outstanding pure veg restaurant in Thane exceeded my expectations in every way. The food quality was exceptional, with each dish showcasing impressive flavors and presentation.

The service was top-notch, with attentive and courteous staff ensuring a seamless dining experience.

If you're a vegetarian or just looking for a fantastic meal, ""The Food Town"" is an absolute must-visit in Thane. Don't miss out on this hidden gem!",positive
Twinkal Jaiswar,"I recently visited Food Town Restaurant, a vegetarian restaurant, and was impressed with the delicious and tasty food. The service was also excellent, with friendly and attentive staff. The atmosphere was welcoming and cozy, making it a perfect spot for a pleasant dining experience.",positive
dhruv kapatel,Ambience is amazing. Good decoration. Service is quick. I went on weekend so there was 40 minutes waiting time. Food quality was awesome especially paneer and cheese. Tried Paneer hot dragon and veg cheese biryani.,positive
Santosh Shirke,"It's a pure veg multi-cuisine restaurant. The food here is good as well. The fusion food here is good. I liked the cheese fondues. The Indian dishes are very good as well.
The pizzas here are decent.
You should try the Indian starters for sure. I tried the Indian platter and  all the tikkas were really good
The ambience is the best thing about this restaurant.usually there is waiting here in the evening.",positive
Priti Gupta,They serve a variety of cusines which are flavourful. I really like their own creation of sandwiches. I love their biryani too. The starters are really worth the shot.,positive
shital Gajra,"It is a great place to visit when you are looking for pure veg hotels, The food is amazing and all the dishes i have tried here were delicious, they're always crowded so book your table in advance",positive
Abhishek Bane,"Good food.
Visited here after their branch in Mulund
The food taste was consistent, good staff, good crockery",positive
Yash Shah,"Its a only veg restaurant with many options on the menu.. We tried Cheese Cigar, Pav Bhaji Fondue, Butter garlic Paneer, French Fries, Paneer Chilly Sizzler and finally pan shots.. I would suggest to go for butter garlic paneer, fondue and cigars.. They have 80-90% of the menu available for Jain as well.. Awesome ambience and mostly its full after 8pm. No reservations available.",positive
Akansha Rawat,"This was a really nice restaurant with every option in veg. Like, where do I start... We planned on eating a proper non veg main course but ended up coming here without a proper survey... However the dishes we ordered were delicious. It makes me wanna go here again fr. Every dish was recommended by their employee. I would absolutely suggest you to go with their recommendations by letting them know ur choice of taste.
First we ordered starters :
Paneer Tikka - properly smoked and spices were added so well to the softness of paneer. The salad with it gives a perfect flavour to your mouth to eat together.
Cheese Cigar Roll - These were dipped in Schezwan sauce that already gave it a cheesy and additional spicy flavour. A different thing that I liked about this dish was, the crunch and flavour of the cover it had.
Chilli Paneer Bao - we usually do take chilli paneer starters, instead this was a contradictory flavour to the normal one as the Bao gave it a sweet bun flavour with those flavourful spices.
Then, I couldn't resist myself to try this Freak Shake. It was worth the money !! So sweet, yum, with ice cream, chocolate milkshake. It's really enough for one with a small appetite.
Asparagus Cheese Sushi - trust me this can be a mind changer for all Sushi haters lol, it was delicious. The crunchy topping and inside flavour was a balance to that whole sushi.

For the main course we ordered :
Large Mexican Sizzler - That sizzled vegetables never tasted so fresh. Even there was better crunch in the fries than we usually have. The patty was so stuffed and good that it was worth trying this out!

A must recommended visit to this resto guys. Ur next stop - TFT",positive
spp p,"One of the must Visit Pure veg Restaurant in Mumbai .
Loved the food here.

The food quality was beyond the expectation,
Service was also excellent
one should definitely try this restaurant.",positive
