name,review
vora keval,"Equipments :-
The Gold Gym is well equipped, & i never have trouble finding what i need.
The quality of machines are top-notch.

Cleanliness:-
Gym Is Always Clean, and well maintained everything.

Trainers :-
Trainers are incredible knowledgeable and motivating.
They make sure we have an healthy diet and core workout to get results in our body

Classes & Events :-
Gold Gym Have Variety Of Fitness Class With Good Coach
Gold Gym Also Arrange Events & Mini Competition Just For Enthusiasm For All."
mostly insane,"This gym offers an excellent workout environment with a wide variety of well-maintained, modern machines. The equipment is clean, diverse, and suitable for all fitness levels.Highly recommended for anyone looking for a quality gym experience.
The trainers are professional and supportive. I especially want to highlight Mayuri Ubale, my personal trainer, who was truly outstanding. Her guidance, motivation, and personalized approach made a real difference in my fitness journey."
Jeel Sanghvi,"Hi, I had requested on the feedback a month back for hygiene concern regards to matt which are torn and dusty. To manager Virendra sir I highlighted onto this for getting few new matts and other props are available above.
On 1st floor staff turns off ac even when members are doing fitness, they knew still they cut power after a while. And trainers when we ask them to correct the posture to avoid any injury, they put their PT scheme directly. This is not how they should be asked to do."
Vidya Pillai,I have been going to gold's gym mulund right since it newly started here. The ambiance and vibe is perfect. The trainers are very friendly  and helpful. My personal trainer Sandhya Kamble is a very good trainer. She is well versed with all the machines and techniques  of the exercises. She trains me really well. A very jovial person by nature She constantly motivates me to workout and teaches and explains  the uses of each and every exercise machine. Very happy to be training with her. I can already see lot of progress in my body and have lost a few inches too. Hope the gym hires more trainers like her so that everyone can reap the benefits of a good personal trainer.
AKSHAY BHOPANI,"Overall Amazing Experience. Clean Gym, Clean Rest Rooms, Full Covid Prevention Measures were taken, and all equipment is sanitized at every use. Coaches are very experienced and ready to help always. Variety of machines to target the right muscles. Gone with Yearly Membership as it's more feasible."
Sai Parab,"Training with Gourav has been a game-changer for me. He's not just a trainer - he's a motivator, a guide, and someone who genuinely cares about your progress. Whether it's perfecting form, pushing limits, or just showing up on tough days, he's there with the right balance of discipline and encouragement.

Gourav has this rare ability to make workouts feel purposeful and enjoyable at the same time. He understands your goals and crafts every session accordingly. I've seen real results, not just physically but mentally too - stronger, more confident, and more consistent.

If you're looking for someone who's knowledgeable, dedicated, and passionate about fitness - Gourav's your guy.

Highly recommend"
Diya Palai,"Great gym with excellent facilities and a motivating atmosphere. My trainer Vinita is incredibly knowledgeable, supportive, and truly pushes me to reach my goals. Highly recommend!"
Ananya Iyer,"Amazing place with a lot of facilities. My trainer Shruti Shetty is an amazing personal trainer. She is very understanding of the health problem but equally strict about laziness (which is really good)
Overall,
Vibe 5/5
Trainer 5/5"
Rehan Shah,The experience at golds gym is just out of the world. Best gym that i have been to yet. All new and upgraded equipments.Also the trainers are highly qualified and also interact to you in a kind way. Always there to help and guide us. The housekeeping regularly sanitises each equipment after use. They make us feel to work out in a very comfortable environment. The music played is good too. They also have a canteen which serves tasty food.Regular temperature checks are also done.
Prasad Parab,"The Best Gym in North Suburb Mumbai. The trainers here are very helpful and guide us whenever required. I'll suggest this gym for fitness transformations to my friends & family members. It is well equipped with the latest machines, CrossFit, Cardio and a dedicated place for Yoga."
Ketan Padaya,The best gym in mulund for all the gym lovers. Gym ambiance is super awesome. Trainers are very supportive and well qualified. Dj system is also too good. All the Equipments are international standard. House keeping staff take care all the necessary precautions under COVID.
Joshua Dsouza,Gold's gym mulund is an amazing mixture of all kinds of fitness activities from cross fit/functional to weight training and cardio as well as other fun activities. I was trained by shashank sir in my initial time over here and he's a must recommended for beginners as all his training techniques focus on strength building in daily activities. I have gained a lot of strength due to his training regime.All in all great experience till date and will recommend to others as well.
Leena Maluskar,Gold Gym is one of the best place for workout in mulund west. The group activities are of wide variety. The ambience is super. I had the opportunity to get trained from Virendra Trimare. He is superb gives attention to detail and variations in exercises. The equipments also have range of solutions. I have managed to loose 20 kg and also got rid of lower back pain permanently. Many thanks for your guidance Virendra Sir.
Shaan M,"One of the best gym to train in town with amazing amount of International equipments @hammerstrength & @ Life fitness  with highly qualified trainers. Amidst of this pandemic they are following all essential protocol like sanitisation at regular basis. Dedicated housekeeping staff.
All the trainers are vaccinated.
Im glad and feel safe while working out."
Smitesh Sarmalkar,"Gold's Gym in Mulund is well-equipped with latest machines that cater to different workout styles and cardio equipment.

The staff is friendly and professional and the housekeeping regularly sanitizes each equipment after use.

My experience with trainer Akash Mahajan has been a very good one. I appreciate the efforts he takes in helping me achieve my fitness goals. He has vast knowledge and always pushes me to do better.

I highly recommend Akash as a trainer and Gold's Gym,Mulund as it provides the perfect environment to achieve your fitness goals."
Tejas Kothari,"Great gym with top-notch facilities and a super motivating vibe. Huge thanks to my trainer Shashank sir who is knowledgeable, supportive, and always pushing me to do better."
1s GameR,This is one of the biggest GYM in Mulund with well equipped machines and best trainer's. I personally visited the gym for trail and the first expression is dope. GYM subscription charges are expensive that's the only problem. But you get each and every thing inside the gym. The equipments and the environment of this justify the subscription charges.
Sankalp,"Experience at Gold's Gym is awesome. Trainer here are so helpful and good.
Restroom and Gym is well hygiene."
Kinjal Sejpal,"Training under the wings of my most most precious trainer SUREKHA NAIK in Mulund Gold Gym has been a life altering experience for me .
Not only is Surekha an absolute veteran trainer with the most precise knowledge in fitness training , but what makes her more special is the way she understands each clients body structure and ability and designs the workout so perfect  , also not to forget she makes sure we are injury free as the right posture is taught to us all time .
In a span of 2 years I have migrated from being a regular fitness person to becoming a mountaineer climbing mountains above 20000 feet, all possible only on her guidance and hard work.
She made sure I build my endurance slowly n steadily in such a way such that I can do ultra runs today .
It's an absolute blessing to be under her wings in This branch of Golds gym Mulund
Without her I would have not been where I'm  today ."
rachana shah,"Joined the Gold's gym two months ago, very good support staff (housekeeping, and valet guys), helpful and attentive trainers including the floor trainers (Sharan and one more guy). They proactively correct your form if you're making any mistakes, help with equipment adjustment, assist with heavy weights. Also, the equipment is well maintained, with good options, and availability. Overall, an excellent and encouraging environment to workout in, even as a newbie at the gym. Best decision to join Gold's! :)"
Satyawan Kadalag,"I wanted to take a moment to express my sincere gratitude to you and the entire team at Gold's Gym for your support and encouragement throughout my fitness journey, especially during my training for the Kedarkantha trek(Himalayan peak, 12500 ft , -5 degrees temperature)

Completing the Kedarkantha trek was a significant achievement for me, and I couldn't have done it without the guidance and motivation I received from the trainers at Gold's Gym especially Akira sir,Krishna sir and Rakesh sir. Their expertise, dedication, and encouragement played a crucial role in helping me build the strength, endurance, and confidence needed to tackle such a challenging adventure.

I am truly grateful for the personalized training programs, valuable advice, and unwavering support I received from these trainers. Whether it was pushing me to go the extra mile during workouts, providing helpful tips on nutrition and hydration, or simply offering words of encouragement when I needed them most, they were always there for me every step of the way.

During my knee injury, I got very good personal training from Sunil Unchavale sir which really helped me to gain strength for my impacted leg.

Once again, thank you from the bottom of my heart for everything you and the team at Gold's Gym have done for me. Your dedication and commitment have made a positive impact on my life, and I am truly grateful for the opportunity to train with such amazing professionals.

I look forward to continuing my fitness journey with Gold's Gym and am excited to see what the future holds."
Kaustubh Mhatre,"The gym is well-equipped with modern machines, free weights, and cardio equipment. I particularly appreciated the variety of machines that cater to different workout styles.

The staff at Golds are friendly and professional. They greet you with a smile and are always willing to help with any questions or issues.

Gold Gym offers a comprehensive fitness experience with top-notch facilities and a friendly atmosphere. While the membership fees might be higher than average, the quality of service and equipment make it worth the investment. If you're looking for a gym that provides a variety of classes, clean facilities, and a supportive environment, Golds is a great choice."
Banyan Finserv,"Excellent Gym nearby with very easy to handle & effective & comfortable equipments. The managers, staff, trainers are very warm & helpful. The vibe is very motivating.
Special thanks & regards to my trainer, Ms. Sandhya Kamble. Very warm, positive & non judgemental approach towards all her clients.  Curates & plans workouts as per the client needs, comfort & energy. Very fun, entertaining & exceptional Motivator during & after workout. Cares for your health & fitness more than yourself . Her years of premium experience shows in her work, attitude & professionalism.  She makes all her clients feel super comfortable in their skin & motivate to get better at the same time. She puts all her personal time & attention as needed for everyone. Grateful to have had such an amazing trainer who makes you feel super confident by giving you your desired results. I strongly recommend her for anyone wanting to change their lives for the better through health & fitness.

Best Regards,
Sakshi Dedhia"
Kedar Apte,"Been going to the Gym for last few years and it is absolutely a delight. Huge area with a lot of machines, superb maintenance and excellent, passionate trainers. There are lot of other activities such as yoga, zumba etc as well. Strongly recommended.
Recommend my trainer Krishna Tulaskar who is an excellent trainer and has made a lot of difference to my physique and health."
Karishma Shrivastava,"Gold gym in Mulund is equipped with latest gym equipments. It is clean, well-maintained and has polite and friendly staff. I would highly recommend Prathamesh for personal training.It also has its own DJ who plays awesome music to keep you pumped up during workouts and a cafe inside with variety of healthy meal options (my dinner take aways)."
Drishti Roy,"Gold's Gym in Mulund West offers a comprehensive fitness experience, boasting state-of-the-art equipment and knowledgeable trainers. The gym provides a well-rounded fitness environment suitable for all levels. One standout trainer, Akira Thakur, particularly impresses with his extensive knowledge and dedication to helping clients achieve their fitness goals. The gym's equipment is top-notch, ensuring a fulfilling workout experience. Whether you're a beginner or a seasoned fitness enthusiast, Gold's Gym Mulund West provides the resources and expertise needed to succeed on your fitness journey."
Arnav Kachhy,"Gold's Gym Mulund is one of the best gym in town. Been training under Vishu sir for a while now, definitely worth it. I would definitely recommend this gym!"
vishambar chauhan,"Spacious and luxurious gym. All the machines and equipments are standardized and the maintenance is up-to-date. I have been regular to the gym only because of two reasons: great ambience including hygiene, optimum havac and variety of energetic somgs played by DJ shiva and the second is generous and helpful trainers, like my personal trainer, sai thakre who is the primary reason for my transformation of 135 kg to 84 kgs. I have been regular to only one gym till now and thats golds gym, all thanks to the positive environment and great music. Thank you Sai sir and Dj shiva :)"
Mahesh g,Best gym in Mulund so far with great ambience and positive environment. All the staff and trainers are well behaved and helpful. Hygiene and cleanliness is well maintained by the housekeeping staff. Worth rating 5 stars for the gym
Rohit Soni,High end equipments. Great coaches. Extremely positive vibes. They have multiple  machines for every exercise. Sana ma'am  is super helpful coach with full of positivity. Siddesh sir is great floor trainer coach with great knowledge of all machines. loving it. This gym is huge.
