name,review
Ravi Ahuja,Ambience ok but food is good especially if you like seafood. Thalis are amazing. Prawns Rice was also nice though very oily inspite of telling the waiter clearly to put less oil for us. Surmai Fry and Pomfret are good too. Must try once atleast if you are in Thane.
siddhant kabra,"I recently had the pleasure of dining at here, and I must say, the food quality and taste are absolutely amazing. Every dish was flavorful and well-prepared, leaving a lasting impression. The service also deserves a special mention for being attentive and efficient, enhancing the overall dining experience.

While the restaurant may not boast a premium ambiance or luxurious seating, it certainly does not disappoint when it comes to the quality and taste of its food. The focus here is clearly on delivering exceptional culinary delights.

One downside to note is the parking situation. Finding a spot can be quite challenging, especially during weekends and holidays. Planning ahead or considering alternative transportation might be a good idea if you're visiting during peak times.

Overall, it's a fantastic place for food lovers who prioritize taste and quality over upscale decor. Highly recommended!"
Alex Mercer,"Best hotel in the area for enjoying veg/nonveg thali with drinks !

This hotel serves some of the cheapest and yet worthy food in the area

They hav alot of seating available, there is also a private place to sit down and enjoy it traditional style.

Surmai fry thali (330/-) size is pretty good
Pomfret thali (550/-)

You can enjoy all kinds of alcohol drinks here at affordable price (no smoking allowed)

They provide complimentary 'chakna'"
Priyanka Thakkar,I have been coming here since my childhood and last year's I wasn't in Thane yesterday I visited this place after years food has become average but when it comes to service is pathetic waiters act as if they are serving u for free they won't talk in hindi and keep talking to u in Marathi and if feels like some unsafe place where they might attact u if u say anything to them these waiters are goons ( gunda) specially one who takes the order they act if the food is free and they are helping poor people . Anyone who is reading this and if u don't know marathi do not visit this place it's scary and can be harmful for ur family this is not a family place if u are maharashtrian it's ok I can speak marathi but I am not a maharashtrian still I felt unsafe just don't go this is the first time in hundreds of my review I wil review a place unsafe very bad if I see other reviews the owner or the guy replying on behave or restaurant is very rude check all the reviews where people have rated them low see how he replies to customer this is what I am talking about it's not safe
Avinash Milwani,"One of the best places in Thane for having Malvani style non-vegetarian and seafood.Their Fish Thalis are delicious.I am a regular and have tried the Surmai thali, Pomfret thali and Chicken Thali.The thali contains one slice of fried fish with Malvani Curry,one vegetable dish,2 chapatis/1bhakri, a bowl of rice and Sol Kadi as an appetizer.Always found the quality and preparation upto the mark.It is very reasonably priced for the quality and quantity served.The restaurant accepts UPI /Card /Cash/ Sodexo/ Pluxee cards."
Deepak,"It's a nice place, usually have to wait for 10-15 min on the weekends, good authentic malvani cuisine. Chicken thali is better than surmai thali, In prawns fry prawns are not cooked well from inside. And in thali I suggest the host to skip Suki machi bhaji. Solkadi, Bhakri, Surmai everything was fresh and awesome.
You will not get any Chinese dish here including chicken lolipop. The best thing is that the natural ice cream shop is nearby hotel malvan. The place is a bit noisy as it's a family restaurant. Good place to go with your friends and family to make some more noise. Bon appetite. Adios."
Dominic Savio Braganza,"We tried the Surmai Tawa Fry, Bombil Rawa Fry, Rawas Masala Fry, Rawas Curry, Rawas Fry and Steam Rice, Vades. Just Super and Authentic Malvani food.
You can order just Fish Rassa, if you don't want a curry fish.
The Rawas Curry and Surmai Tawa Fry (with a light coating of rawa) was one of the best I've had. Absolutely Amazing.
End with a well balanced Solkadi.
The ambience is simple and average, but clean. Nothing fancy.
Prices are reasonable, considering 'its fish'.
They also serve a variety of dishes in Mutton, Chicken and are also famous for their Thalis.
Service is fast and the waiters will gladly explain you the dishes in case you enquire.
Situated at Panch Pakhadi area of Thane close to the junction."
Raghav Gujarati,"Well this place is strictly for non vegetarians.
Good ambience. They serve alcohol  too but still comfortable for families.
Since i am vegetarian and i was there with friends i had to choose from very few vegetarian options. I would definitely not suggest this for vegetarians and based on my friends feedback, must try for non vegetarians to taste authentic Maharashtrian food. We have been there on Friday evening so had to wait for 15 minutes."
oaindrila das,"Very delicious Malwani food!! It's reasonably priced. We tried crab, prawns, Bombil, pomfret & shell fish. Loved the taste! It's located at Pachpakhadi & can be easily reached from Thane West station road."
Aditi Datta,"Hotel Malwan has been my go-to dining destination for over two decades, and I can confidently attest to the consistent quality and delightful taste of their cuisine. Located in the heart of Thane, the restaurant offers a welcoming and homely ambiance, creating the perfect setting for indulging in some of the finest Malwani dishes.

Among my personal favorites, the Bheja Sukkha and Mutton Liver Sukkha are absolute must-tries. The Bombil Fry is a delightful delicacy that should not be missed, and their Mutton Bhaat is a true masterpiece. the chicken and various fish items on their menu are equally delectable.
If you're a fan of Malwani cuisine, Hotel Malwan is the place to be."
Omkar Ambre,This restaurant offers you wide variety of malvani food and having drinks facility. As i visited many reastaurant offering mouth watering kokani food and i my native is kokan i felt this one is failed to give you best tatse. If you are die hard fan of malvani non veg food this restaurant will quite disappoint you .and it is expensive but give you best family time.
Rohan Hire,"I am a great fan of this restaurant, actually. But whenever I take a parcel from this hotel, they always have me stale fish. It has happened three times now. I hope the owner will change this policy."
Kirti Bhole,"Finger-licking good Malvani mutton and Prawns Chutney (get it as dry starter instead of gravy)!! They usually have all sorts of fresh fish available according to the season - bombil(Bombay Duck), paplet(Pomfret), rawas(Salmon), surmai(Kingfish), mori(Shark), kolambi(Prawns), tisrya(Clams), makhli(Squid & Octopus), jawla(Baby Shrimp). We also order the jawla fritter extra spicy with green chillies whenever they have it. Bheja fry and liver tawa fry are good and so are the rice bhakri and malvani vade. Prawns khichadi is loaded with prawns."
Marica Dsouza,"1. Prawns koliwada: Tasty, not spicy. Enjoyed it.
2. Surmai fry: Good portion but the masala was not tasty, just very spicy not flavourful
3. Fish thali: Again it was okay just spicy. Nothing great flavour wise
4. Mutton Thali: The mutton sukha was amazing! Thali was good in size too. Enjoyed it."
Reshma Lokhande,"We ordered three different types of thali. Ravas thali, Surmai thali and bheja fry thali. The taste was authentic and good.. Fish lovers must visit this hotel..."
Meenal Kedare,"I went there for dinner. Food is very delicious....If you are a crab lover then visit here.....tawa surmai, chicken bhat nd Crab was so yummy nd price is also reasonable."
Amar Rao,"Restaurant served with liquor. Service is good. Had ordered Surmai fry thali and Bombil fry. Surmai fry was approximately Rs. 350, which is quite reasonable. Surmai fry was fresh but not big. Fish gravy served in the thali was tasteless. Bombil fry was fresh. Quality of food can definitely improve."
